Auto parts for foreign cars,Auto repair and maintenance (SRT),Alcoholic drinks,Pharmacy,Banks,Fast food,Delivery of ready meals,Womens clothing,Cafe,Cosmetics / Perfume,Nail studios,Vegetables / Fruits,Hairdressers,Payment terminals,Postamats,Grocery stores,Points for issuing online orders,Restaurants,Insurance, Supermarkets,Flowers,Tire Service,population,bus_stop,subway_entrance,tram_stops,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified,target
0,0,0,2,0,21,3,16,6,8,8,0,0,2,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1655
0,0,0,7,2,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,778,0,1,0,0,0,0,0,0,0,0,0,31303
0,0,0,0,0,0,2,0,2,0,0,0,0,2,4,0,0,0,0,2,0,0,387,0,0,0,0,0,0,0,0,3,0,0,1301
0,0,0,6,2,0,0,3,0,0,4,0,0,2,2,0,0,1,1,5,0,0,845,1,0,0,0,0,0,0,0,2,0,0,17056
0,0,0,2,0,7,1,19,7,9,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9467
0,0,0,0,0,0,3,0,0,3,0,0,0,1,2,0,0,0,2,4,0,0,1810,2,0,0,1,0,0,0,0,0,0,0,49
0,0,0,4,0,3,3,5,0,5,1,1,0,5,1,0,1,0,0,4,0,1,360,2,0,2,0,0,0,0,0,0,0,0,97
0,0,0,8,6,3,0,18,0,1,1,2,2,4,1,0,0,0,0,6,0,0,672,0,0,2,1,0,0,0,0,0,0,0,82499
0,0,0,2,3,5,0,1,0,1,0,1,0,4,7,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,183
0,0,2,6,0,6,0,0,0,2,1,0,3,6,1,1,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,109
0,0,0,0,0,7,3,13,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13292
0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,0,3,0,0,0,913,0,0,0,0,0,0,0,0,2,0,0,1326
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,1915
0,0,0,0,0,0,0,0,0,3,0,1,2,1,2,0,0,0,0,2,0,0,340,0,0,0,0,0,0,0,0,4,0,0,1670
0,0,0,0,0,0,0,2,0,2,0,3,3,1,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,6,7012
0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,10624
0,0,0,8,1,2,4,13,1,8,0,1,2,4,3,0,2,0,2,5,0,0,1228,1,0,0,0,0,0,0,0,0,0,0,95
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,600,0,0,0,0,0,0,0,0,0,0,0,2538
0,1,1,2,0,3,3,6,0,1,1,1,3,1,2,0,3,0,0,2,1,0,518,0,0,0,0,0,0,0,0,2,0,0,94
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4301
0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12635
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337
0,0,1,0,0,0,0,0,0,3,1,1,1,1,3,1,0,0,0,0,1,0,545,0,0,0,0,0,0,0,0,0,0,4,11786
0,0,1,2,0,0,0,7,2,2,3,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,6,0,0,11,1,1,2,0,6,1,0,0,1,0,0,0,0,0,200,0,0,0,0,0,1,0,0,0,0,0,22128
0,0,0,7,3,8,2,36,0,4,8,2,7,2,3,1,0,0,0,3,0,0,400,0,0,0,0,0,0,0,0,0,0,0,98
0,0,2,8,0,1,4,9,5,3,0,1,5,1,1,0,0,0,0,2,1,0,713,0,0,0,0,0,0,0,0,0,0,0,9726
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,68
0,0,0,0,4,2,0,7,0,0,0,0,0,1,1,0,1,0,0,0,1,0,178,2,2,0,0,1,4,0,0,0,0,0,24889
0,0,0,4,2,0,1,4,0,0,0,1,2,0,0,0,0,2,0,0,1,0,182,0,0,0,0,0,0,0,0,2,0,0,33237
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175
0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5998
0,0,0,2,1,4,0,0,0,3,5,0,5,1,0,0,0,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,108
0,0,1,0,6,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,554,0,0,0,0,0,0,0,2,0,0,0,35491
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5519
0,0,0,2,0,0,1,4,0,2,1,0,2,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7359
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974
0,0,0,2,0,0,0,6,0,3,0,0,0,2,1,0,1,0,0,0,0,0,630,0,1,0,1,0,0,0,0,0,0,0,8226
0,0,0,0,3,2,1,0,0,0,0,1,2,1,0,0,0,0,0,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,12256
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,606,0,0,0,0,0,0,0,0,0,0,0,780
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,0,0,0,4,0,1,0,0,0,0,0,15523
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,1,0,0,3,1,0,672,0,0,0,0,0,0,0,6,5,0,4,2081
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145,0,0,0,0,0,0,0,0,5,0,0,729
0,0,0,0,4,0,0,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5307
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8187
0,0,0,2,2,1,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9955
0,0,0,2,1,1,0,17,2,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22128
0,0,2,6,2,0,0,0,0,0,0,1,1,0,1,1,1,0,0,2,0,0,925,2,0,2,0,0,16,0,0,0,0,0,108
0,0,0,2,1,0,0,11,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46826
0,0,0,0,0,4,0,19,4,2,3,0,4,2,3,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98
0,0,0,2,0,3,0,15,0,2,1,0,0,5,3,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17496
2,0,0,4,3,0,0,0,0,1,1,0,4,2,1,0,0,0,1,0,0,0,555,2,0,0,10,0,0,0,0,7,0,0,98
1,0,0,0,2,0,0,0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,725,1,0,0,2,0,0,0,0,0,0,0,22097
0,0,0,2,0,2,0,7,0,4,0,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2396
0,0,0,0,4,0,0,14,2,2,0,1,0,3,4,0,3,2,1,0,2,0,115,0,0,0,0,0,0,0,0,6,0,0,30590
0,0,0,2,0,0,0,1,0,2,1,0,0,1,2,0,1,0,0,2,1,0,298,0,0,0,0,0,0,0,0,1,0,0,7463
0,0,0,2,1,0,0,4,0,5,2,1,2,2,3,0,3,0,1,3,0,0,983,1,0,0,0,0,0,0,2,0,0,0,261
0,0,0,2,2,0,0,2,0,3,1,2,2,4,0,0,1,0,0,4,0,0,662,0,0,0,0,0,0,0,2,0,0,0,1672
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12864
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5272
0,0,0,0,0,0,0,22,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
0,0,0,4,1,3,2,90,0,7,0,0,2,7,3,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,79
0,0,0,2,4,1,0,2,0,3,0,0,0,6,3,0,1,0,1,4,1,0,113,0,0,2,0,0,12,0,3,2,0,0,21944
0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,5,0,0,0,0,427,0,0,0,0,0,2,0,0,0,0,0,5609
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,434
2,0,1,2,1,3,3,0,2,1,0,1,2,5,5,0,5,0,3,2,0,0,847,0,0,0,0,0,0,0,0,0,0,0,5557
0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,0,0,1,3,2,0,173,1,0,0,0,0,0,0,1,0,0,0,9339
0,0,1,2,0,0,0,25,1,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,269,2,1,0,0,0,14,0,0,0,0,0,3927
0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28998
0,0,1,4,0,2,2,28,1,5,0,0,0,8,3,0,1,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,11849
0,0,0,2,1,0,0,0,0,2,0,0,0,3,1,0,0,0,1,3,1,0,259,0,0,0,0,0,0,0,0,2,0,0,9932
0,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13906
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,789
0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623
2,0,0,2,2,0,0,4,0,1,0,0,2,3,1,4,0,0,0,0,1,0,897,1,0,0,2,0,0,0,0,2,0,0,577
0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7166
0,0,2,4,0,2,8,51,1,8,0,0,0,7,5,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8473
0,0,0,2,0,0,0,4,0,8,0,3,3,1,3,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1294
0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,6,0,2,4,0,0,60
0,0,0,4,1,0,3,46,0,7,2,0,0,3,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7134
0,0,0,2,0,0,0,0,0,3,0,0,3,1,0,2,0,0,1,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,35518
0,0,0,2,0,0,0,7,0,1,0,1,0,2,2,0,0,0,0,4,0,0,274,0,0,0,0,0,0,0,0,0,0,0,8881
0,0,0,0,4,4,0,21,0,3,1,0,0,11,5,0,1,0,0,4,1,0,524,0,0,0,0,0,0,0,0,2,0,0,2669
2,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,1,3,1,2,859,0,0,0,0,0,0,0,0,1,0,0,12911
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
0,0,0,4,0,2,0,0,0,3,0,2,0,0,2,0,0,0,0,0,1,0,288,1,0,0,0,0,0,0,3,0,0,0,10703
0,0,1,2,0,1,0,9,2,2,0,1,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7296
0,0,1,2,0,2,0,30,0,7,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
0,0,0,2,2,5,0,5,2,3,3,0,0,4,6,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4262
0,0,0,4,0,0,0,0,0,3,0,1,2,0,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6644
0,0,0,2,0,0,0,12,0,5,2,0,0,4,4,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14742
0,0,0,0,0,0,0,44,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0,0,0,0,0,2,0,49,0,4,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11828
0,0,0,2,3,0,1,1,0,0,0,1,2,2,0,0,0,0,1,0,0,0,89,0,0,0,0,0,0,0,0,5,0,0,2332
0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,860,1,0,0,0,0,7,0,7,0,0,0,29302
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,171,1,0,1,0,0,0,0,0,0,0,0,107
0,0,1,8,0,0,3,64,0,2,0,0,1,1,6,0,0,4,0,0,2,0,106,0,0,0,8,0,0,0,0,7,0,0,27013
0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,3,0,0,0,0,4,0,0,0,24508
0,0,0,2,0,3,0,0,0,2,0,0,0,7,0,0,1,0,1,6,3,0,0,3,0,2,0,0,0,0,0,0,0,0,95
0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30652
0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,3,0,0,1162
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,321,0,0,0,0,0,0,0,4,0,0,0,2963
0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,375,0,0,0,0,0,3,0,0,5,0,0,116
0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,0,0,0,0,4,0,0,654,0,0,0,0,0,0,0,0,0,0,0,84
0,0,0,0,0,2,0,0,1,4,0,2,2,6,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,5,0,0,451,0,0,0,0,0,0,0,0,0,0,0,80
0,0,0,2,0,11,2,14,0,3,0,8,0,5,0,1,1,1,0,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,75
0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,2,0,0,0,0,0,6947
2,0,0,0,1,0,4,11,1,1,1,0,2,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104
0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,1,0,0,2,0,0,398,0,0,0,0,0,2,0,0,0,0,0,31720
0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,120,0,0,0,1,0,0,0,0,0,0,0,5670
0,0,0,0,0,3,0,17,0,3,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,0,8,2,25,4,2,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85
0,0,0,2,1,1,0,0,0,0,2,2,4,1,0,0,0,0,0,2,1,0,154,1,0,0,10,0,9,0,0,0,0,0,25635
0,0,0,4,0,6,2,35,3,6,2,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,76
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,514,0,0,0,0,0,0,0,6,0,0,0,1061
0,0,0,2,7,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,33090
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,56
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,163,0,0,0,0,0,0,0,0,4,0,0,548
0,0,0,2,0,2,2,3,0,6,2,0,1,3,0,0,1,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
0,0,0,0,0,0,0,0,1,0,6,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17561
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1325
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24696
1,0,0,0,0,3,0,1,4,0,7,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13970
0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4,1,0,418,0,0,0,0,0,0,0,0,1,0,0,2478
0,0,0,2,0,2,0,0,0,0,0,5,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
0,0,0,4,0,2,2,6,0,2,0,1,0,3,4,0,1,0,0,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,70
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426
0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,225,1,0,0,13,0,2,0,0,0,0,0,1132
0,0,0,0,0,1,3,95,3,10,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,560
0,0,0,2,1,2,0,13,0,0,1,0,0,3,0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,0,4,0,0,0,76
0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,7527
0,0,0,2,0,3,0,28,0,7,1,2,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10656
0,0,0,2,0,0,0,0,1,0,1,0,1,0,2,1,0,0,0,0,0,0,653,0,0,0,0,3,4,0,1,0,0,0,1924
0,0,0,0,1,2,0,8,0,3,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103
1,0,0,2,0,1,3,4,0,0,1,1,3,0,1,1,2,0,0,4,1,1,331,0,0,0,0,0,0,0,0,0,0,0,76
0,0,2,0,0,6,0,14,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16788
1,0,0,2,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,2,0,0,1080,0,0,0,0,0,0,0,0,5,0,0,9539
0,0,0,2,3,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,1126,0,0,0,0,0,1,0,0,10,0,0,46
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,782,1,0,0,0,0,8,0,0,9,0,0,58
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,12485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,114
0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5314
0,0,0,2,2,0,0,6,0,2,0,1,0,6,2,0,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,98
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233
0,0,2,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,85
2,0,0,0,0,1,0,19,0,6,0,0,2,0,1,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91
0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,439,0,0,0,0,0,1,0,0,0,0,0,32825
0,0,0,6,0,6,0,0,0,2,0,1,2,2,0,0,1,0,0,2,0,0,103,4,0,0,0,0,9,0,3,0,0,0,79
2,0,0,2,0,7,4,36,2,7,1,0,0,5,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15842
0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,2168
0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,199,1,0,2,0,0,10,0,9,0,0,0,83
0,0,0,0,3,3,2,4,0,2,0,0,0,1,1,0,0,0,0,4,0,0,230,2,0,0,0,0,4,0,0,0,0,0,27046
0,0,0,2,3,1,2,0,5,0,0,0,1,0,0,0,1,0,0,0,1,0,485,1,0,2,0,0,25,0,0,0,0,0,76
